No,名前,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早,おもさ,とくせい1,とくせい2,かくれとくせい,使用可能
474,ポリゴンＺ,ノーマル,,85,80,70,135,75,90,34,てきおうりょく,ダウンロード,アナライズ,
475,エルレイド,エスパー,かくとう,68,125,65,65,115,80,52,ふくつのこころ,きれあじ,せいぎのこころ,TRUE
475,メガエルレイド,エスパー,かくとう,68,165,95,65,115,110,56.4,せいしんりょく,,,TRUE
476,ダイノーズ,いわ,はがね,60,55,145,75,150,40,340,がんじょう,じりょく,すなのちから,
477,ヨノワール,ゴースト,,45,100,135,65,135,45,106.6,プレッシャー,,おみとおし,
478,ユキメノコ,こおり,ゴースト,70,80,70,80,70,110,26.6,ゆきがくれ,,のろわれボディ,TRUE
478,メガユキメノコ,こおり,ゴースト,70,80,70,140,100,120,29.6,ゆきふらし,,,TRUE
479,ロトム,でんき,ゴースト,50,50,77,95,77,91,0.3,ふゆう,,,TRUE
479,ロトム炎,でんき,ほのお,50,65,107,105,107,86,0.3,ふゆう,,,TRUE
479,ロトム水,でんき,みず,50,65,107,105,107,86,0.3,ふゆう,,,TRUE
479,ロトム氷,でんき,こおり,50,65,107,105,107,86,0.3,ふゆう,,,TRUE
479,ロトム飛,でんき,ひこう,50,65,107,105,107,86,0.3,ふゆう,,,TRUE
479,ロトム草,でんき,くさ,50,65,107,105,107,86,0.3,ふゆう,,,TRUE
480,ユクシー,エスパー,,75,75,130,75,130,95,0.3,ふゆう,,,
481,エムリット,エスパー,,80,105,105,105,105,80,0.3,ふゆう,,,
482,アグノム,エスパー,,75,125,70,125,70,115,0.3,ふゆう,,,
483,ディアルガ,はがね,ドラゴン,100,120,120,150,100,90,683,プレッシャー,,テレパシー,
484,パルキア,みず,ドラゴン,90,120,100,150,120,100,336,プレッシャー,,テレパシー,
485,ヒードラン,ほのお,はがね,91,90,106,130,106,77,430,もらいび,,ほのおのからだ,
485,メガヒードラン,ほのお,はがね,91,120,106,175,141,67,570,,,,
486,レジギガス,ノーマル,,110,160,110,80,110,100,420,スロースタート,,,
486,ギラティナA,ゴースト,ドラゴン,150,100,120,100,120,90,750,プレッシャー,,テレパシー,
487,ギラティナO,ゴースト,ドラゴン,150,120,100,120,100,90,650,ふゆう,,,
488,クレセリア,エスパー,,120,70,110,75,120,85,85.6,ふゆう,,,
489,フィオネ,みず,,80,80,80,80,80,80,3.1,うるおいボディ,,,
490,マナフィ,みず,,100,100,100,100,100,100,1.4,うるおいボディ,,,
491,ダークライ,あく,,70,90,90,135,90,125,50.5,ナイトメア,,,
491,メガダークライ,あく,,70,120,130,165,130,85,240,,,,
492,シェイミL,くさ,,100,100,100,100,100,100,2.1,しぜんかいふく,,,
492,シェイミS,くさ,ひこう,100,103,75,120,75,127,5.2,てんのめぐみ,,,
493,アルセウス,ノーマル,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスくさ,くさ,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスほのお,ほのお,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスみず,みず,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスむし,むし,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスノーマル,ノーマル,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスあく,あく,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスどく,どく,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスでんき,でんき,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスこおり,こおり,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスフェアリー,フェアリー,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスじめん,じめん,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスかくとう,かくとう,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスエスパー,エスパー,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスいわ,いわ,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスゴースト,ゴースト,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスドラゴン,ドラゴン,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスはがね,はがね,,120,120,120,120,120,120,320,マルチタイプ,,,
493,アルセウスひこう,ひこう,,120,120,120,120,120,120,320,マルチタイプ,,,
494,ビクティニ,エスパー,ほのお,100,100,100,100,100,100,4,しょうりのほし,,,
495,ツタージャ,くさ,,45,45,55,45,55,63,8.1,しんりょく,,あまのじゃく,
496,ジャノビー,くさ,,60,60,75,60,75,83,16,しんりょく,,あまのじゃく,
497,ジャローダ,くさ,,75,75,95,75,95,113,63,しんりょく,,あまのじゃく,TRUE
498,ポカブ,ほのお,,65,63,45,45,45,45,9.9,もうか,,あついしぼう,
499,チャオブー,ほのお,かくとう,90,93,55,70,55,55,55.5,もうか,,あついしぼう,
500,エンブオー,ほのお,かくとう,110,123,65,100,65,65,150,もうか,,すてみ,TRUE
500,メガエンブオー,ほのお,かくとう,110,148,75,110,110,75,180.3,かたやぶり,,,TRUE
501,ミジュマル,みず,,55,55,45,63,45,45,5.9,げきりゅう,,シェルアーマー,
502,フタチマル,みず,,75,75,60,83,60,60,24.5,げきりゅう,,シェルアーマー,
503,ダイケンキ,みず,,95,100,85,108,70,70,94.6,げきりゅう,,シェルアーマー,TRUE
503,ダイケンキH,みず,あく,90,108,80,100,65,85,94.6,げきりゅう,,きれあじ,TRUE
504,ミネズミ,ノーマル,,45,55,39,35,39,42,11.6,にげあし,するどいめ,アナライズ,
505,ミルホッグ,ノーマル,,60,85,69,60,69,77,27,はっこう,するどいめ,アナライズ,TRUE
506,ヨーテリー,ノーマル,,45,60,45,25,45,55,4.1,やるき,ものひろい,にげあし,
507,ハーデリア,ノーマル,,65,80,65,35,65,60,14.7,いかく,すなかき,きもったま,
508,ムーランド,ノーマル,,85,110,90,45,90,80,61,いかく,すなかき,きもったま,
509,チョロネコ,あく,,41,50,37,50,37,66,10.1,じゅうなん,かるわざ,いたずらごころ,
510,レパルダス,あく,,64,88,50,88,50,106,37.5,じゅうなん,かるわざ,いたずらごころ,TRUE
511,ヤナップ,くさ,,50,53,48,53,48,64,10.5,くいしんぼう,,しんりょく,
512,ヤナッキー,くさ,,75,98,63,98,63,101,30.5,くいしんぼう,,しんりょく,TRUE
513,バオップ,ほのお,,50,53,48,53,48,64,11,くいしんぼう,,もうか,
514,バオッキー,ほのお,,75,98,63,98,63,101,28,くいしんぼう,,もうか,TRUE
515,ヒヤップ,みず,,50,53,48,53,48,64,13.5,くいしんぼう,,げきりゅう,
516,ヒヤッキー,みず,,75,98,63,98,63,101,29,くいしんぼう,,げきりゅう,TRUE
517,ムンナ,エスパー,,76,25,45,67,55,24,23.3,よちむ,シンクロ,テレパシー,
518,ムシャーナ,エスパー,,116,55,85,107,95,29,60.5,よちむ,シンクロ,テレパシー,TRUE
519,マメパト,ノーマル,ひこう,50,55,50,36,30,43,2.1,はとむね,きょううん,とうそうしん,
520,ハトーボー,ノーマル,ひこう,62,77,62,50,42,65,15,はとむね,きょううん,とうそうしん,
521,ケンホロウ,ノーマル,ひこう,80,115,80,65,55,93,29,はとむね,きょううん,とうそうしん,
522,シママ,でんき,,45,60,32,50,32,76,29.8,ひらいしん,でんきエンジン,そうしょく,
523,ゼブライカ,でんき,,75,100,63,80,63,116,79.5,ひらいしん,でんきエンジン,そうしょく,
524,ダンゴロ,いわ,,55,75,85,25,25,15,18,がんじょう,くだけるよろい,すなのちから,
525,ガントル,いわ,,70,105,105,50,40,20,102,がんじょう,くだけるよろい,すなのちから,
526,ギガイアス,いわ,,85,135,130,60,80,25,260,がんじょう,すなおこし,すなのちから,
527,コロモリ,エスパー,ひこう,65,45,43,55,43,72,2.1,てんねん,ぶきよう,たんじゅん,
528,ココロモリ,エスパー,ひこう,67,57,55,77,55,114,10.5,てんねん,ぶきよう,たんじゅん,
529,モグリュー,じめん,,60,85,40,30,45,68,8.5,すなかき,すなのちから,かたやぶり,
530,ドリュウズ,じめん,はがね,110,135,60,50,65,88,40.4,すなかき,すなのちから,かたやぶり,TRUE
530,メガドリュウズ,はがね,じめん,110,165,100,65,65,103,60,かんつうドリル,,,TRUE
531,タブンネ,ノーマル,,103,60,86,60,86,50,31,いやしのこころ,さいせいりょく,ぶきよう,TRUE
531,メガタブンネ,ノーマル,フェアリー,103,60,126,80,126,50,32,いやしのこころ,,,TRUE
532,ドッコラー,かくとう,,75,80,55,25,35,35,12.5,こんじょう,ちからずく,てつのこぶし,
533,ドテッコツ,かくとう,,85,105,85,40,50,40,40,こんじょう,ちからずく,てつのこぶし,
534,ローブシン,かくとう,,105,140,95,55,65,45,87,こんじょう,ちからずく,てつのこぶし,TRUE
535,オタマロ,みず,,50,50,40,50,40,64,4.5,すいすい,うるおいボディ,ちょすい,
536,ガマガル,みず,じめん,75,65,55,65,55,69,17,すいすい,うるおいボディ,ちょすい,
537,ガマゲロゲ,みず,じめん,105,95,75,85,75,74,62,すいすい,どくしゅ,ちょすい,
538,ナゲキ,かくとう,,120,100,85,30,85,45,55.5,こんじょう,せいしんりょく,かたやぶり,
539,ダゲキ,かくとう,,75,125,75,30,75,85,51,がんじょう,せいしんりょく,かたやぶり,
540,クルミル,むし,くさ,45,53,70,40,60,42,2.5,むしのしらせ,ようりょくそ,ぼうじん,
541,クルマユ,むし,くさ,55,63,90,50,80,42,7.3,リーフガード,ようりょくそ,ぼうじん,
542,ハハコモリ,むし,くさ,75,103,80,70,80,92,20.5,むしのしらせ,ようりょくそ,ぼうじん,
543,フシデ,むし,どく,30,45,59,30,39,57,5.3,どくのトゲ,むしのしらせ,かそく,
544,ホイーガ,むし,どく,40,55,99,40,79,47,58.5,どくのトゲ,むしのしらせ,かそく,
545,ペンドラー,むし,どく,60,100,89,55,69,112,200.5,どくのトゲ,むしのしらせ,かそく,TRUE
545,メガペンドラー,むし,どく,60,140,149,75,99,62,230.5,シェルアーマー,,,TRUE
546,モンメン,くさ,フェアリー,40,27,60,37,50,66,0.6,いたずらごころ,すりぬけ,ようりょくそ,
547,エルフーン,くさ,フェアリー,60,67,85,77,75,116,6.6,いたずらごころ,すりぬけ,ようりょくそ,TRUE
548,チュリネ,くさ,,45,35,50,70,50,30,6.6,ようりょくそ,マイペース,リーフガード,
549,ドレディア,くさ,,70,60,75,110,75,90,16.3,ようりょくそ,マイペース,リーフガード,
550,バスラオ,みず,,70,92,65,80,55,98,18,いしあたま,てきおうりょく,かたやぶり,
551,メグロコ,じめん,あく,50,72,35,35,35,65,15.2,いかく,じしんかじょう,いかりのつぼ,
552,ワルビル,じめん,あく,60,82,45,45,45,74,33.4,いかく,じしんかじょう,いかりのつぼ,
553,ワルビアル,じめん,あく,95,117,80,65,70,92,96.3,いかく,じしんかじょう,いかりのつぼ,TRUE
554,ダルマッカN,ほのお,,70,90,45,15,45,50,37.5,はりきり,,せいしんりょく,
554,ダルマッカG,こおり,,70,90,45,15,45,50,40,はりきり,,せいしんりょく,
555,ヒヒダルマN,ほのお,,105,140,55,30,55,95,40,ちからずく,,ダルマモード,
555,ヒヒダルマD,ほのお,エスパー,105,30,105,140,105,55,92.9,ダルマモード,,,
555,ヒヒダルマG,こおり,,105,140,55,30,55,95,120,ごりむちゅう,,ダルマモード,
556,マラカッチ,くさ,,75,86,67,106,67,60,28,ちょすい,ようりょくそ,よびみず,
557,イシズマイ,むし,いわ,50,65,85,35,35,55,14.5,がんじょう,シェルアーマー,くだけるよろい,
558,イワパレス,むし,いわ,70,105,125,65,75,45,200,がんじょう,シェルアーマー,くだけるよろい,
559,ズルッグ,あく,かくとう,50,75,70,35,70,48,11.8,だっぴ,じしんかじょう,いかく,
560,ズルズキン,あく,かくとう,65,90,115,45,115,58,30,だっぴ,じしんかじょう,いかく,TRUE
560,メガズルズキン,あく,かくとう,65,130,135,55,135,68,31,いかく,,,TRUE
561,シンボラー,エスパー,ひこう,72,58,80,103,80,97,14,ミラクルスキン,マジックガード,いろめがね,
562,デスマス,じめん,ゴースト,38,30,85,55,65,30,1.5,ミイラ,,,
563,デスカーン,ゴースト,,58,50,145,95,105,30,76.5,ミイラ,,,TRUE
564,プロトーガ,みず,いわ,54,78,103,53,45,22,16.5,ハードロック,がんじょう,すいすい,
565,アバゴーラ,みず,いわ,74,108,133,83,65,32,81,ハードロック,がんじょう,すいすい,
566,アーケン,いわ,ひこう,55,112,45,74,45,70,9.5,よわき,,,
567,アーケオス,いわ,ひこう,75,140,65,112,65,110,32,よわき,,,
568,ヤブクロン,どく,,50,50,62,40,62,65,31,あくしゅう,ねんちゃく,ゆうばく,
569,ダストダス,どく,,80,95,82,60,82,75,107.3,あくしゅう,くだけるよろい,ゆうばく,TRUE
570,ゾロア,あく,,40,65,40,80,40,65,12.5,イリュージョン,,,
570,ゾロアH,ノーマル,ゴースト,35,60,40,85,40,70,12.5,イリュージョン,,,
571,ゾロアーク,あく,,60,105,60,120,60,105,81.1,イリュージョン,,,TRUE
571,ゾロアークH,ノーマル,ゴースト,55,100,60,125,60,110,81.1,イリュージョン,,,TRUE
572,チラーミィ,ノーマル,,55,50,40,40,40,75,5.8,メロメロボディ,テクニシャン,スキルリンク,
573,チラチーノ,ノーマル,,75,95,60,65,60,115,7.5,メロメロボディ,テクニシャン,スキルリンク,
574,ゴチム,エスパー,,45,30,50,55,65,45,5.8,おみとおし,かちき,かげふみ,
575,ゴチミル,エスパー,,60,45,70,75,85,55,18,おみとおし,かちき,かげふみ,
576,ゴチルゼル,エスパー,,70,55,95,95,110,65,44,おみとおし,かちき,かげふみ,
577,ユニラン,エスパー,,45,30,40,105,50,20,1,ぼうじん,マジックガード,さいせいりょく,
578,ダブラン,エスパー,,65,40,50,125,60,30,8,ぼうじん,マジックガード,さいせいりょく,
579,ランクルス,エスパー,,110,65,75,125,85,30,20.1,ぼうじん,マジックガード,さいせいりょく,TRUE
580,コアルヒー,みず,ひこう,62,44,50,44,50,55,5.5,するどいめ,はとむね,うるおいボディ,
581,スワンナ,みず,ひこう,75,87,63,87,63,98,24.2,するどいめ,はとむね,うるおいボディ,
582,バニプッチ,こおり,,36,50,50,65,60,44,5.7,アイスボディ,ゆきがくれ,くだけるよろい,
583,バニリッチ,こおり,,51,65,65,80,75,59,41,アイスボディ,ゆきがくれ,くだけるよろい,
584,バイバニラ,こおり,,71,95,85,110,95,79,57.5,アイスボディ,ゆきふらし,くだけるよろい,TRUE
585,シキジカ,ノーマル,くさ,60,60,50,40,50,75,19.5,ようりょくそ,そうしょく,てんのめぐみ,
586,メブキジカ,ノーマル,くさ,80,100,70,60,70,95,92.5,ようりょくそ,そうしょく,てんのめぐみ,
587,エモンガ,でんき,ひこう,55,75,60,75,60,103,5,せいでんき,,でんきエンジン,TRUE
588,カブルモ,むし,,50,75,45,40,45,60,5.9,むしのしらせ,だっぴ,ノーガード,
589,シュバルゴ,むし,はがね,70,135,105,60,105,20,33,むしのしらせ,シェルアーマー,ぼうじん,
590,タマゲタケ,くさ,どく,69,55,45,55,55,15,1,ほうし,,さいせいりょく,
591,モロバレル,くさ,どく,114,85,70,85,80,30,10.5,ほうし,,さいせいりょく,
592,プルリル,みず,ゴースト,55,40,50,65,85,40,33,ちょすい,のろわれボディ,しめりけ,
593,ブルンゲル,みず,ゴースト,100,60,70,85,105,60,135,ちょすい,のろわれボディ,しめりけ,
594,ママンボウ,みず,,165,75,80,40,45,65,31.6,いやしのこころ,うるおいボディ,さいせいりょく,
595,バチュル,むし,でんき,50,47,50,57,50,65,0.6,ふくがん,きんちょうかん,むしのしらせ,
596,デンチュラ,むし,でんき,70,77,60,97,60,108,14.3,ふくがん,きんちょうかん,むしのしらせ,
597,テッシード,くさ,はがね,44,50,91,24,86,10,18.8,てつのトゲ,,,
598,ナットレイ,くさ,はがね,74,94,131,54,116,20,110,てつのトゲ,,きけんよち,
599,ギアル,はがね,,40,55,70,45,60,30,21,プラス,マイナス,クリアボディ,
600,ギギアル,はがね,,60,80,95,70,85,50,51,プラス,マイナス,クリアボディ,
601,ギギギアル,はがね,,60,100,115,70,85,90,81,プラス,マイナス,クリアボディ,
602,シビシラス,でんき,,35,55,40,45,40,60,0.3,ふゆう,,,
603,シビビール,でんき,,65,85,70,75,70,40,22,ふゆう,,,
604,シビルドン,でんき,,85,115,80,105,80,50,80.5,ふゆう,,,TRUE
604,メガシビルドン,でんき,,85,145,80,135,90,80,180,うなぎのぼり,,,TRUE
605,リグレー,エスパー,,55,55,55,85,55,30,9,テレパシー,シンクロ,アナライズ,
606,オーベム,エスパー,,75,75,75,125,95,40,34.5,テレパシー,シンクロ,アナライズ,
607,ヒトモシ,ゴースト,ほのお,50,30,55,65,55,20,3.1,もらいび,ほのおのからだ,すりぬけ,
608,ランプラー,ゴースト,ほのお,60,40,60,95,60,55,13,もらいび,ほのおのからだ,すりぬけ,
609,シャンデラ,ゴースト,ほのお,60,55,90,145,90,80,34.3,もらいび,ほのおのからだ,すりぬけ,TRUE
609,メガシャンデラ,ほのお,ゴースト,60,75,110,175,110,90,69.6,すりぬけ,,,TRUE
610,キバゴ,ドラゴン,,46,87,60,30,40,57,18,とうそうしん,かたやぶり,きんちょうかん,
611,オノンド,ドラゴン,,66,117,70,40,50,67,36,とうそうしん,かたやぶり,きんちょうかん,
612,オノノクス,ドラゴン,,76,147,90,60,70,97,105.5,とうそうしん,かたやぶり,きんちょうかん,
613,クマシュン,こおり,,55,70,40,60,40,40,8.5,ゆきがくれ,ゆきかき,びびり,
614,ツンベアー,こおり,,95,130,80,70,80,50,260,ゆきがくれ,ゆきかき,すいすい,TRUE
615,フリージオ,こおり,,80,50,50,95,135,105,148,ふゆう,,,
616,チョボマキ,むし,,50,40,85,40,65,25,7.7,うるおいボディ,シェルアーマー,ぼうじん,
617,アギルダー,むし,,80,70,40,100,60,145,25.3,うるおいボディ,ねんちゃく,かるわざ,
618,マッギョ,じめん,はがね,109,66,84,81,99,32,11,せいでんき,じゅうなん,すながくれ,TRUE
618,マッギョG,じめん,はがね,100,81,99,66,84,32,20.5,ぎたい,,,TRUE
619,コジョフー,かくとう,,45,85,50,55,50,65,20,せいしんりょく,さいせいりょく,すてみ,
620,コジョンド,かくとう,,65,125,60,95,60,105,35.5,せいしんりょく,さいせいりょく,すてみ,
621,クリムガン,ドラゴン,,77,120,90,60,90,48,139,さめはだ,ちからずく,かたやぶり,
622,ゴビット,じめん,ゴースト,59,74,50,35,50,35,92,てつのこぶし,ぶきよう,ノーガード,
623,ゴルーグ,じめん,ゴースト,89,124,80,55,80,55,330,てつのこぶし,ぶきよう,ノーガード,TRUE
623,メガゴルーグ,ゴースト,じめん,89,159,105,70,105,55,330,ふかしのこぶし,,,TRUE
624,コマタナ,あく,はがね,45,85,70,40,40,60,10.2,まけんき,せいしんりょく,プレッシャー,
625,キリキザン,あく,はがね,65,125,100,60,70,70,70,まけんき,せいしんりょく,プレッシャー,
626,バッフロン,ノーマル,,95,110,95,40,95,55,94.6,すてみ,そうしょく,ぼうおん,
627,ワシボン,ノーマル,ひこう,70,83,50,37,50,60,10.5,するどいめ,ちからずく,はりきり,
628,ウォーグル,ノーマル,ひこう,100,123,75,57,75,80,41,するどいめ,ちからずく,まけんき,
629,バルチャイ,あく,ひこう,70,55,75,45,65,60,9,はとむね,ぼうじん,くだけるよろい,
630,バルジーナ,あく,ひこう,110,65,105,55,95,80,39.5,はとむね,ぼうじん,くだけるよろい,
631,クイタラン,ほのお,,85,97,66,105,66,65,58,くいしんぼう,もらいび,しろいけむり,
632,アイアント,むし,はがね,58,109,112,48,48,109,33,むしのしらせ,はりきり,なまけ,
633,モノズ,あく,ドラゴン,52,65,50,45,50,38,17.3,はりきり,,,
634,ジヘッド,あく,ドラゴン,72,85,70,65,70,58,50,はりきり,,,
635,サザンドラ,あく,ドラゴン,92,105,90,125,90,98,160,ふゆう,,,TRUE
636,メラルバ,むし,ほのお,55,85,55,50,55,60,28.8,ほのおのからだ,,むしのしらせ,
637,ウルガモス,むし,ほのお,85,60,65,135,105,100,46,ほのおのからだ,,むしのしらせ,TRUE
638,コバルオン,はがね,かくとう,91,90,129,90,72,108,250,せいぎのこころ,,,
639,テラキオン,いわ,かくとう,91,129,90,72,90,108,260,せいぎのこころ,,,
640,ビリジオン,くさ,かくとう,91,90,72,90,129,108,200,せいぎのこころ,,,
641,トルネロス化,ひこう,,79,115,70,125,80,111,63,いたずらごころ,,まけんき,
641,トルネロス霊,ひこう,,79,100,80,110,90,121,63,さいせいりょく,,,
642,ボルトロス化,でんき,ひこう,79,115,70,125,80,111,61,いたずらごころ,,まけんき,
642,ボルトロス霊,でんき,ひこう,79,105,70,145,80,101,61,ちくでん,,,
643,レシラム,ドラゴン,ほのお,100,120,100,150,120,90,330,ターボブレイズ,,,
644,ゼクロム,ドラゴン,でんき,100,150,120,120,100,90,345,テラボルテージ,,,
645,ランドロス化,じめん,ひこう,89,125,90,115,80,101,68,すなのちから,,ちからずく,
645,ランドロス霊,じめん,ひこう,89,145,90,105,80,91,68,いかく,,,
646,キュレム,ドラゴン,こおり,125,130,90,130,90,95,325,プレッシャー,,,
646,キュレムW,ドラゴン,こおり,125,120,90,170,100,95,325,ターボブレイズ,,,
646,キュレムB,ドラゴン,こおり,125,170,100,120,90,95,325,テラボルテージ,,,
647,ケルディオいつも,みず,かくとう,91,72,90,129,90,108,48.5,せいぎのこころ,,,
647,ケルディオ覚悟,みず,かくとう,91,72,90,129,90,108,48.5,せいぎのこころ,,,
648,メロエッタV,エスパー,,100,77,77,128,128,90,6.5,てんのめぐみ,,,
648,メロエッタS,エスパー,かくとう,100,128,90,77,77,128,6.5,てんのめぐみ,,,
649,ゲノセクト,むし,はがね,71,120,95,120,95,99,82.5,ダウンロード,,,
650,ハリマロン,くさ,,56,61,65,48,45,38,9,しんりょく,,ぼうだん,
651,ハリボーグ,くさ,,61,78,95,56,58,57,29,しんりょく,,ぼうだん,
652,ブリガロン,くさ,かくとう,88,107,122,74,75,64,90,しんりょく,,ぼうだん,TRUE
652,メガブリガロン,くさ,かくとう,88,137,172,72,115,44,90,ぼうだん,,,TRUE
653,フォッコ,ほのお,,40,45,40,62,60,60,9.4,もうか,,マジシャン,
654,テールナー,ほのお,,59,59,58,90,70,73,14.5,もうか,,マジシャン,
655,マフォクシー,ほのお,エスパー,75,69,72,114,100,104,39,もうか,,マジシャン,TRUE
655,メガマフォクシー,ほのお,エスパー,75,69,72,159,125,134,39,ふゆう,,,TRUE
656,ケロマツ,みず,,41,56,40,62,44,71,7,げきりゅう,,へんげんじざい,
657,ゲコガシラ,みず,,54,63,52,83,56,97,10.9,げきりゅう,,へんげんじざい,
658,ゲッコウガ,みず,あく,72,95,67,103,71,122,40,げきりゅう,,へんげんじざい,TRUE
658,ゲッコウガS,みず,あく,72,145,67,153,71,132,40,きずなへんげ,,,
658,メガゲッコウガ,みず,あく,72,125,77,133,81,142,40,へんげんじざい,,,TRUE
659,ホルビー,ノーマル,,38,36,38,32,36,57,5,ものひろい,ほおぶくろ,ちからもち,
660,ホルード,ノーマル,じめん,85,56,77,50,77,78,42.4,ものひろい,ほおぶくろ,ちからもち,TRUE
661,ヤヤコマ,ノーマル,ひこう,45,50,43,40,38,62,1.7,はとむね,,はやてのつばさ,
662,ヒノヤコマ,ほのお,ひこう,62,73,55,56,52,84,16,ほのおのからだ,,はやてのつばさ,
663,ファイアロー,ほのお,ひこう,78,81,71,74,69,126,24.5,ほのおのからだ,,はやてのつばさ,TRUE
664,コフキムシ,むし,,38,35,40,27,25,35,2.5,りんぷん,ふくがん,フレンドガード,
665,コフーライ,むし,,45,22,60,27,30,29,8.4,だっぴ,,フレンドガード,
666,ビビヨン,むし,ひこう,80,52,50,90,50,89,17,りんぷん,ふくがん,フレンドガード,TRUE
667,シシコ,ほのお,ノーマル,62,50,58,73,54,72,13.5,とうそうしん,きんちょうかん,じしんかじょう,
668,カエンジシ,ほのお,ノーマル,86,68,72,109,66,106,81.5,とうそうしん,きんちょうかん,じしんかじょう,TRUE
668,メガカエンジシ,ほのお,ノーマル,86,88,92,129,86,126,93.3,ほのおのたてがみ,,,TRUE
669,フラベベ,フェアリー,,44,38,39,61,79,42,0.1,フラワーベール,,きょうせい,
670,フラエッテ,フェアリー,,54,45,47,75,98,52,0.9,フラワーベール,,きょうせい,
670,メガフラエッテえいえん,フェアリー,,74,85,87,155,148,102,100.8,フェアリーオーラ,,,TRUE
670,フラエッテえいえん,フェアリー,,74,65,67,125,128,92,0.9,フラワーベール,,きょうせい,TRUE
671,フラージェス,フェアリー,,78,65,68,112,154,75,10,フラワーベール,,きょうせい,TRUE
672,メェークル,くさ,,66,65,48,62,57,52,31,そうしょく,,くさのけがわ,
673,ゴーゴート,くさ,,123,100,62,97,81,68,91,そうしょく,,くさのけがわ,TRUE
674,ヤンチャム,かくとう,,67,82,62,46,48,43,8,てつのこぶし,かたやぶり,きもったま,
675,ゴロンダ,かくとう,あく,95,124,78,69,71,58,136,てつのこぶし,かたやぶり,きもったま,TRUE
676,トリミアン,ノーマル,,75,80,60,65,90,102,28,ファーコート,,,TRUE
677,ニャスパー,エスパー,,62,48,54,63,60,68,3.5,するどいめ,すりぬけ,マイペース,
678,ニャオニクス♂,エスパー,,74,48,76,83,81,104,8.5,するどいめ,すりぬけ,いたずらごころ,TRUE
678,ニャオニクス♀,エスパー,,74,48,76,83,81,104,8.5,するどいめ,すりぬけ,かちき,TRUE
678,メガニャオニクス,エスパー,,74,48,76,143,101,124,10.1,トレース,,,TRUE
679,ヒトツキ,はがね,ゴースト,45,80,100,35,37,28,2,ノーガード,,,
680,ニダンギル,はがね,ゴースト,59,110,150,45,49,35,4.5,ノーガード,,,
681,ギルガルド盾,はがね,ゴースト,60,50,140,50,140,60,53,バトルスイッチ,,,TRUE
681,ギルガルド剣,はがね,ゴースト,60,140,50,140,50,60,53,バトルスイッチ,,,TRUE
682,シュシュプ,フェアリー,,78,52,60,63,65,23,0.5,いやしのこころ,,アロマベール,
683,フレフワン,フェアリー,,101,72,72,99,89,29,15.5,いやしのこころ,,アロマベール,TRUE
684,ペロッパフ,フェアリー,,62,48,66,59,57,49,3.5,スイートベール,,かるわざ,
685,ペロリーム,フェアリー,,82,80,86,85,75,72,5,スイートベール,,かるわざ,TRUE
686,マーイーカ,あく,エスパー,53,54,53,37,46,45,3.5,あまのじゃく,きゅうばん,すりぬけ,
687,カラマネロ,あく,エスパー,86,92,88,68,75,73,47,あまのじゃく,きゅうばん,すりぬけ,TRUE
687,メガカラマネロ,あく,エスパー,86,102,88,98,120,88,69.8,あまのじゃく,,,TRUE
688,カメテテ,いわ,みず,42,52,67,39,56,50,31,スナイパー,かたいツメ,わるいてぐせ,
689,ガメノデス,いわ,みず,72,105,115,54,86,68,96,スナイパー,かたいツメ,わるいてぐせ,TRUE
689,メガガメノデス,かくとう,いわ,72,140,130,64,106,88,100,かたいツメ,,,TRUE
690,クズモー,どく,みず,50,60,60,60,60,30,7.3,どくのトゲ,どくしゅ,てきおうりょく,
691,ドラミドロ,どく,ドラゴン,65,75,90,97,123,44,81.5,どくのトゲ,どくしゅ,てきおうりょく,TRUE
691,メガドラミドロ,ドラゴン,どく,65,85,105,132,163,44,100.3,さいせいりょく,,,TRUE
692,ウデッポウ,みず,,50,53,62,58,63,44,8.3,メガランチャー,,,
693,ブロスター,みず,,71,73,88,120,89,59,35.3,メガランチャー,,,TRUE
694,エリキテル,でんき,ノーマル,44,38,33,61,43,70,6,かんそうはだ,すながくれ,サンパワー,
695,エレザード,でんき,ノーマル,62,55,52,109,94,109,21,かんそうはだ,すながくれ,サンパワー,TRUE
